#Name			RA		Dec		z	2FGL name		Threshold(0=use the default threshold, which should be 1.e-6 ph cm^-2 s^-1)
0FGLJ1634.9-4737	248.740526	-47.635219	None	None			8.e-6
PKS1717+177		259.804369	17.751788	0.137	_2FGLJ1719.3+1744	0
RGBJ1725+118		261.268101	11.870963	0.018	_2FGLJ1725.0+1151	0
PKS1440-389		220.988250	-39.144278	None	_2FGLJ1443.9-3908	0
2FGLJ1328.5-4728	202.1481	-47.47115	None	_2FGLJ1328.5-4728	0
1ES1312-423		198.764025	-42.613900	0.105	None			0
PKS1244-255		191.695002	-25.797048	0.638	_2FGLJ1246.7-2546	0
3EGJ1236+0457		189.886472	4.718132	1.761	_2FGLJ1239.5+0443	0
PKS1334-127		204.415769	-12.956843	0.539	_2FGLJ1337.7-1257	0
PKS0907+022		137.416033	2.001463	1.0952	_2FGLJ0909.6+0158	0
PKS1057-79		164.680457	-80.065044	0.569	_2FGLJ1057.0-8004	0
1ES1101-232		165.906892	-23.491864	0.186	_2FGLJ1103.4-2330	0
1ES1218+304		185.341338	30.176897	0.182	_2FGLJ1221.3+3010	0
3C279			194.046527	-5.789312	0.5362	_2FGLJ1256.1-0547	0
PKS1508-05		227.723298	-5.718727	1.191	_2FGLJ1510.9-0545	0
PKS1604+159		241.777333	15.859472	0.357	_2FGLJ1607.0+1552	0
PKS2005-489		302.355795	-48.831589	0.071	_2FGLJ2009.5-4850	0
PKS2052-474		314.068167	-47.246529	1.489	_2FGLJ2056.2-4715	0
PKS2142-758		326.803043	-75.603674	1.139	None			0
1FGLJ2325.8-4043	351.462500	-40.718333	None	None			0
BLLacertae		330.680381	42.277772	0.0688	_2FGLJ2202.8+4216	0
PKS1124-186		171.768359	-18.954795	1.048	_2FGLJ1126.6-1856	0
PKS1222+216		186.226873	21.379578	0.435	_2FGLJ1224.9+2122	0
3C273			187.277896	2.052406	0.158	_2FGLJ1229.1+0202	0
PKS1329-049		203.018603	-5.162029	2.150	_2FGLJ1332.0-0508	0
PKS1352-104		208.693799	-10.684087	0.332	_2FGLJ1354.7-1047	0
PKS1424+240		216.751632	23.800010	0.16	_2FGLJ1427.0+2347	0
PKS1424-418		216.984585	-42.105429	1.522	_2FGLJ1428.0-4206	0
1ES1440+122		220.700958	12.011092	0.163	_2FGLJ1442.7+1159	0
PKS1454-354		224.361292	-35.652763	1.424	_2FGLJ1457.4-3540	0
PKS1725+044		262.103970	4.451365	0.293	_2FGLJ1728.2+0429	0
PKS2204-54		331.932258	-53.776063	1.206	_2FGLJ2208.1-5345	0
PHL5225			337.417012	-8.548443	1.560	_2FGLJ2229.7-0832	0
3EGJ2255+1943		344.000000	19.700000	None	None			0
MH2136-428		324.850525	-42.588922	None	_2FGLJ2139.3-4236	0
OX169			325.898125	17.730221	0.211	_2FGLJ2143.5+1743	0
PKS1510-319		228.317		-32.165		None	None			0
SHBLJ125341.1-393159	193.421754	-39.533219	0.179	None			0
3EGJ1329+1708		203.3990946	16.8177619	2.084	None			0
GX339-4			255.70567	-48.78967	None	None			0
PKS1622-297		246.52508683	-29.85749200	0.815	_2FGLJ1626.1-2948	0
1ES1741+196		265.9909692	+19.5858381	0.083	_2FGLJ1744.1+1934	0
PKS1915-458		289.81942	-45.72733	2.470	None			0
PKS2004-447		301.9799346	-44.5789653	0.24	_2FGLJ2007.9-4430	0
SHBLJ213852.5-20534	324.7187	-20.8967	0.290	_2FGLJ2139.1-2054	0
PKS1215+303		184.4670083	+30.1168433	0.237	_2FGLJ1217.8+3006	0
3EGJ1314-3431		199.0333004	-33.6497800	1.210	_2FGLJ1311.7-3429	0
PKS1406-076		212.2353192	-07.8740464	1.4935	_2FGLJ1408.8-0751	0
PKS1730-130		263.2613533	-13.0804128	0.902	_2FGLJ1733.1-1307	0
PKS1741-038		265.99523392	-03.83461578	1.054	None			0
3EGJ1806-5005		271.5		-50.1		None	None			0
PKS2326-502		352.337000	-49.927967	0.518	_2FGLJ2329.2-4956	0
